Proposal Name,Name,Unit Type,No of Desks,Centre: Name
P-0005,BLR/EW/PS/00/001,Private Studios,0,
P-0003,BLR/EW/PS/00/001,Private Studios,0,
NCR/AC/02993/2,NCR/AC/PS/00/001,Private Studio,27,CoWrks Aerocity
NCR/AC/02619/1,NCR/AC/PS/01/017,Private Studio,48,CoWrks Aerocity
NCR/AC/02801/1,NCR/AC/DD/01/022,Dedicated Desk,4,CoWrks Aerocity
NCR/AC/02801/1,NCR/AC/DD/01/023,Dedicated Desk,4,CoWrks Aerocity
NCR/AC/02801/1,NCR/AC/DD/01/024,Dedicated Desk,4,CoWrks Aerocity
NCR/AC/02801/1,NCR/AC/DD/01/025,Dedicated Desk,4,CoWrks Aerocity
NCR/AC/02815/1,NCR/AC/CL/00/002,Lounge,1,CoWrks Aerocity
NCR/AC/02122/3,NCR/AC/PS/00/008,Private Studio,4,CoWrks Aerocity
NCR/AC/02865/1,NCR/AC/PS/00/007,Private Studio,3,CoWrks Aerocity
NCR/AC/02864/1,NCR/AC/PS/00/007,Private Studio,3,CoWrks Aerocity
NCR/AC/03106/1,NCR/AC/PS/01/059,Private Studio,6,CoWrks Aerocity
NCR/AC/02960/1,NCR/AC/CL/00/006,Lounge,1,CoWrks Aerocity
NCR/AC/03002/1,NCR/AC/PS/01/022,Private Studio,12,CoWrks Aerocity
NCR/AC/03002/2,NCR/AC/PS/01/023,Private Studio,13,CoWrks Aerocity
NCR/AC/03002/2,NCR/AC/PS/01/025,Private Studio,13,CoWrks Aerocity
NCR/AC/02122/2,NCR/AC/PS/01/058,Private Studio,5,CoWrks Aerocity
NCR/AC/03045/1,NCR/AC/PS/01/061,Private Studio,2,CoWrks Aerocity
NCR/AC/02444/1,NCR/AC/DD/01/001,Dedicated Desk,1,CoWrks Aerocity
NCR/AC/02715/1,NCR/AC/CL/00/001,Lounge,1,CoWrks Aerocity
NCR/AC/02715/1,NCR/AC/LK/00/001,Lockers,1,CoWrks Aerocity
NCR/AC/02728/1,NCR/AC/DD/01/002,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/1,NCR/AC/DD/01/003,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/1,NCR/AC/DD/01/004,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/1,NCR/AC/DD/01/005,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/1,NCR/AC/DD/01/006,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/2,NCR/AC/DD/01/012,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/2,NCR/AC/DD/01/013,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/2,NCR/AC/DD/01/014,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/2,NCR/AC/DD/01/015,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02728/2,NCR/AC/DD/01/016,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02800/1,NCR/AC/DD/01/017,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02800/1,NCR/AC/DD/01/018,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02800/1,NCR/AC/DD/01/019,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02800/1,NCR/AC/DD/01/020,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02800/1,NCR/AC/DD/01/021,Dedicated Desk,5,CoWrks Aerocity
NCR/AC/02945/1,NCR/AC/PS/01/051,Private Studio,6,CoWrks Aerocity
NCR/AC/02990/1,NCR/AC/PS/01/011,Private Studio,36,CoWrks Aerocity
NCR/AC/02993/1,NCR/AC/PS/00/001,Private Studio,27,CoWrks Aerocity
NCR/AC/03000/1,NCR/AC/PS/01/024,Private Studio,24,CoWrks Aerocity
NCR/AC/02999/1,NCR/AC/PS/00/001,Private Studio,27,CoWrks Aerocity
NCR/AC/02998/2,NCR/AC/PS/01/022,Private Studio,12,CoWrks Aerocity
NCR/AC/02995/1,NCR/AC/PS/00/004,Private Studio,14,CoWrks Aerocity
NCR/AC/02995/1,NCR/AC/PS/00/007,Private Studio,14,CoWrks Aerocity
NCR/AC/02995/1,NCR/AC/PS/00/008,Private Studio,14,CoWrks Aerocity
NCR/AC/02994/1,NCR/AC/PS/00/002,Private Studio,10,CoWrks Aerocity
NCR/AC/02994/1,NCR/AC/PS/00/005,Private Studio,10,CoWrks Aerocity
NCR/AC/03094/1,NCR/AC/PS/01/030,Private Studio,2,CoWrks Aerocity
NCR/AC/03120/1,NCR/AC/PS/01/035,Private Studio,3,CoWrks Aerocity
NCR/AC/03094/3,NCR/AC/PS/01/030,Private Studio,2,CoWrks Aerocity
NCR/AC/02281/1,NCR/AC/PS/01/011,Private Studio,112,CoWrks Aerocity
NCR/AC/02281/1,NCR/AC/PS/01/012,Private Studio,112,CoWrks Aerocity
NCR/AC/02281/1,NCR/AC/PS/01/013,Private Studio,112,CoWrks Aerocity
NCR/AC/02243/1,NCR/AC/PS/00/005,Private Studio,15,CoWrks Aerocity
NCR/AC/02243/1,NCR/AC/PS/00/006,Private Studio,15,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/026,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/027,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/029,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/030,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/015,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/016,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/017,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/018,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/019,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/020,Private Studio,147,CoWrks Aerocity
NCR/AC/02097/3,NCR/AC/PS/01/025,Private Studio,147,CoWrks Aerocity
NCR/AC/03068/1,NCR/AC/PS/01/015,Private Studio,40,CoWrks Aerocity
NCR/AC/02339/1,NCR/AC/PS/01/021,Private Studio,4,CoWrks Aerocity
NCR/AC/02393/1,NCR/AC/PS/01/011,Private Studio,72,CoWrks Aerocity
NCR/AC/02393/1,NCR/AC/PS/01/011,Private Studio,72,CoWrks Aerocity
NCR/AC/02461/1,NCR/AC/PS/01/048,Private Studio,4,CoWrks Aerocity
NCR/AC/02461/2,NCR/AC/PS/01/058,Private Studio,5,CoWrks Aerocity
NCR/AC/02483/1,NCR/AC/DD/01/001,Dedicated Desk,1,CoWrks Aerocity
NCR/AC/02486/1,NCR/AC/PS/00/005,Private Studio,8,CoWrks Aerocity
NCR/AC/03078/1,NCR/AC/PS/01/016,Private Studio,85,CoWrks Aerocity
NCR/AC/03078/1,NCR/AC/PS/01/017,Private Studio,85,CoWrks Aerocity
NCR/AC/02927/1,NCR/AC/CL/00/001,Lounge,3,CoWrks Aerocity
NCR/AC/02927/1,NCR/AC/CL/00/002,Lounge,3,CoWrks Aerocity
NCR/AC/02927/1,NCR/AC/CL/00/003,Lounge,3,CoWrks Aerocity
NCR/AC/02531/1,NCR/AC/PS/01/039,Private Studio,10,CoWrks Aerocity
NCR/AC/02531/1,NCR/AC/PS/01/050,Private Studio,10,CoWrks Aerocity
NCR/AC/03092/1,NCR/AC/PS/01/052,Private Studio,1,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/002,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/003,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/004,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/005,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/006,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/007,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/008,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02772/1,NCR/AC/DD/01/009,Dedicated Desk,3,CoWrks Aerocity
NCR/AC/02772/1,NCR/AC/DD/01/010,Dedicated Desk,3,CoWrks Aerocity
NCR/AC/02772/1,NCR/AC/DD/01/011,Dedicated Desk,3,CoWrks Aerocity
NCR/AC/02829/1,NCR/AC/CL/00/003,Lounge,1,CoWrks Aerocity
NCR/AC/02863/1,NCR/AC/PS/00/009,Private Studio,3,CoWrks Aerocity
NCR/AC/03146/1,NCR/AC/CL/00/001,Lounge,1,CoWrks Aerocity
NCR/AC/03153/1,NCR/AC/PS/00/001,Private Studio,27,CoWrks Aerocity
NCR/AC/03154/1,NCR/AC/PS/00/007,Private Studio,3,CoWrks Aerocity
NCR/AC/03154/2,NCR/AC/PS/01/037,Private Studio,3,CoWrks Aerocity
NCR/AC/03154/2,NCR/AC/PS/01/041,Private Studio,3,CoWrks Aerocity
NCR/AC/03162/1,NCR/AC/PS/01/050,Private Studio,6,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/001,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/002,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/003,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/004,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/005,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/006,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/007,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/008,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/009,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/010,Private Studio,126,CoWrks Aerocity
NCR/AC/02845/1,NCR/AC/PS/01/024,Private Studio,24,CoWrks Aerocity
NCR/AC/03177/1,NCR/AC/PS/01/055,Private Studio,1,CoWrks Aerocity
NCR/AC/03144/1,NCR/AC/VO/00/001,Virtual Office,0,CoWrks Aerocity
NCR/AC/03180/1,NCR/AC/CL/00/002,Lounge,2,CoWrks Aerocity
NCR/AC/03180/1,NCR/AC/CL/00/003,Lounge,2,CoWrks Aerocity
NCR/AC/03182/1,NCR/AC/PS/01/023,Private Studio,11,CoWrks Aerocity
NCR/AC/03155/1,NCR/AC/CL/00/004,Lounge,2,CoWrks Aerocity
NCR/AC/03155/1,NCR/AC/CL/00/005,Lounge,2,CoWrks Aerocity
NCR/AC/03094/2,NCR/AC/PS/01/030,Private Studio,2,CoWrks Aerocity
NCR/PT/01788/1,NCR/PT/PS/01/016,Private Studio,20,CoWrks Golf Course Road
NCR/PT/01788/1,NCR/PT/PS/01/017,Private Studio,20,CoWrks Golf Course Road
NCR/PT/01787/1,NCR/PT/PS/01/014,Private Studio,20,CoWrks Golf Course Road
