Proposal Name,Name,Unit Type,No of Desks,Centre: Name,Contract Number,Status,Account Name,Account Owner,Centre,Duplicate Check
NCR/AC/03045/1,NCR/AC/PS/01/061,Private Studio,2,CoWrks Aerocity,2436,Activated,Vaibhav Sharma,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02728/2,NCR/AC/DD/01/012,Dedicated Desk,5,CoWrks Aerocity,2260,Activated,EKANEK NETWORKS PRIVATE LIMITED,Khushboo Parakh,CoWrks Aerocity,
NCR/AC/02728/2,NCR/AC/DD/01/013,Dedicated Desk,5,CoWrks Aerocity,2260,Activated,EKANEK NETWORKS PRIVATE LIMITED,Khushboo Parakh,CoWrks Aerocity,
NCR/AC/02728/2,NCR/AC/DD/01/014,Dedicated Desk,5,CoWrks Aerocity,2260,Activated,EKANEK NETWORKS PRIVATE LIMITED,Khushboo Parakh,CoWrks Aerocity,
NCR/AC/02728/2,NCR/AC/DD/01/015,Dedicated Desk,5,CoWrks Aerocity,2260,Activated,EKANEK NETWORKS PRIVATE LIMITED,Khushboo Parakh,CoWrks Aerocity,
NCR/AC/02728/2,NCR/AC/DD/01/016,Dedicated Desk,5,CoWrks Aerocity,2260,Activated,EKANEK NETWORKS PRIVATE LIMITED,Khushboo Parakh,CoWrks Aerocity,
NCR/AC/02483/1,NCR/AC/DD/01/001,Dedicated Desk,1,CoWrks Aerocity,2053,Activated,Marks Emballage Private Limited,Khushboo Parakh,CoWrks Aerocity,
NCR/AC/03092/1,NCR/AC/PS/01/052,Private Studio,1,CoWrks Aerocity,2459,Activated,Airlogic Aviation Solutions Pvt Ltd,Arjun Gulati,CoWrks Aerocity,
NCR/AC/02770/1,NCR/AC/DD/01/002,Dedicated Desk,7,CoWrks Aerocity,2227,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02770/1,NCR/AC/DD/01/003,Dedicated Desk,7,CoWrks Aerocity,2227,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02770/1,NCR/AC/DD/01/004,Dedicated Desk,7,CoWrks Aerocity,2227,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02770/1,NCR/AC/DD/01/005,Dedicated Desk,7,CoWrks Aerocity,2227,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02770/1,NCR/AC/DD/01/006,Dedicated Desk,7,CoWrks Aerocity,2227,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02770/1,NCR/AC/DD/01/007,Dedicated Desk,7,CoWrks Aerocity,2227,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02770/1,NCR/AC/DD/01/008,Dedicated Desk,7,CoWrks Aerocity,2227,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02772/1,NCR/AC/DD/01/009,Dedicated Desk,3,CoWrks Aerocity,2228,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02772/1,NCR/AC/DD/01/010,Dedicated Desk,3,CoWrks Aerocity,2228,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02772/1,NCR/AC/DD/01/011,Dedicated Desk,3,CoWrks Aerocity,2228,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity,
NCR/AC/02863/1,NCR/AC/PS/00/009,Private Studio,3,CoWrks Aerocity,2336,Activated,BTG Legal Services,Arjun Gulati,CoWrks Aerocity,
NCR/AC/03146/1,NCR/AC/CL/00/001,Lounge,1,CoWrks Aerocity,2492,Activated,ETRUE VALUE.COM,Rumpa Das,CoWrks Aerocity,
NCR/PT/01788/1,NCR/PT/PS/01/016,Private Studio,20,CoWrks Golf Course Road,1423,Activated,DUNNHUMBY IT SERVICES INDIA PRIVATE LIMITED,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/01788/1,NCR/PT/PS/01/017,Private Studio,20,CoWrks Golf Course Road,1423,Activated,DUNNHUMBY IT SERVICES INDIA PRIVATE LIMITED,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/01787/1,NCR/PT/PS/01/014,Private Studio,20,CoWrks Golf Course Road,1417,Activated,DUNNHUMBY IT SERVICES INDIA PRIVATE LIMITED,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/01787/1,NCR/PT/PS/01/015,Private Studio,20,CoWrks Golf Course Road,1417,Activated,DUNNHUMBY IT SERVICES INDIA PRIVATE LIMITED,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/01524/1,NCR/PT/DD/01/015,Dedicated Desk,1,CoWrks Golf Course Road,1421,Month on Month,EJ INITIATIVE LLP,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01832/1,NCR/PT/PS/01/040,Private Studio,21,CoWrks Golf Course Road,1481,Activated,AgriChain Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
