DD No,SF 
EW/00/01,Tech Emergence
EW/00/02,Auto Ninja
EW/00/03,Auto Ninja
EW/00/04,Auto Ninja
EW/00/05,Auto Ninja
EW/00/06,Auto Ninja
EW/00/07,Basant Sahoo
EW/00/08,Basant Sahoo
EW/00/09,Basant Sahoo
EW/00/10,Auto Ninja
EW/00/11,Auto Ninja
EW/00/12,Auto Ninja
EW/00/13,Auto Ninja
EW/00/14,Auto Ninja
EW/00/15,Auto Ninja
EW/00/16,Auto Ninja
EW/00/17,Next Link/ RVS Prasad
EW/00/18,QA Infotech
EW/01/DD/01,Auto Ninja
EW/01/DD/02,
EW/01/DD/03,
EW/01/DD/04,
EW/01/DD/05,Auto Ninja
EW/01/DD/06,Ushur 
EW/01/DD/07,
EW/01/DD/08,
EW/01/DD/09,Auto Ninja
EW/01/DD/10,
EW/01/DD/11,
EW/01/DD/12,
EW/01/DD/13,
EW/01/DD/14,Auto Ninja
EW/01/DD/15,Auto Ninja
EW/01/DD/16,
EW/01/DD/17,
EW/01/DD/18,Auto Ninja
EW/01/DD/19,
EW/01/DD/20,
EW/01/DD/21,
EW/01/DD/22,
EW/01/DD/23,
EW/01/DD/24,
EW/01/DD/25,arete advisors
EW/01/DD/26,Auto Ninja
EW/01/DD/27,
EW/01/DD/28,
EW/01/DD/29,
EW/01/DD/30,
EW/01/DD/31,
EW/01/DD/32,
EW/01/DD/33,
EW/01/DD/34,Arete Advisors
EW/01/DD/35,Auto Ninja
EW/01/DD/36,Auto Ninja
EW/01/DD/37,Auto Ninja
EW/01/DD/38,Auto Ninja
EW/01/DD/39,Auto Ninja
EW/01/DD/40,Auto Ninja
EW/01/DD/41,Auto Ninja
EW/01/DD/42,Auto Ninja
EW/01/DD/43,Auto Ninja
EW/01/DD/44,Auto Ninja
EW/01/DD/45,
EW/01/DD/46,
EW/01/DD/47,
EW/01/DD/48,
EW/01/DD/49,
EW/01/DD/50,
EW/01/DD/51,
EW/01/DD/52,techintelli
EW/01/DD/53,techintelli
EW/01/DD/54,techintelli
EW/01/DD/55,techintelli
EW/01/DD/56,Auto Ninja
EW/01/DD/57,
EW/01/DD/58,
EW/01/DD/59,
EW/01/DD/60,
EW/01/DD/61,
EW/01/DD/62,
EW/01/DD/63,
EW/01/DD/64,
EW/01/DD/65,
EW/01/DD/66,
EW/01/DD/67,
EW/01/DD/68,
EW/01/DD/69,
EW/01/DD/70,
EW/01/DD/71,
EW/01/DD/72,
EW/01/DD/73,
EW/01/DD/74,
EW/01/DD/75,QA Infotech
EW/01/DD/76,
EW/01/DD/77,
EW/01/DD/78,
EW/01/DD/79,
EW/01/DD/80,
EW/02/DD/01,Airtel
EW/02/DD/02,Airtel
EW/02/DD/03,Airtel
EW/02/DD/04,Airtel
EW/02/DD/05,Airtel
EW/02/DD/06,Airtel
EW/02/DD/07,Airtel
EW/02/DD/08,Airtel
EW/02/DD/09,Airtel
EW/02/DD/10,Airtel
EW/02/DD/11,Airtel
EW/02/DD/12,Airtel
EW/02/DD/13,Airtel
EW/02/DD/14,Airtel
EW/02/DD/15,Airtel
EW/02/DD/16,Airtel
EW/02/DD/17,Airtel
EW/02/DD/18,Airtel
EW/02/DD/19,Airtel
EW/02/DD/20,Airtel
EW/02/DD/21,Airtel
EW/02/DD/22,Airtel
EW/02/DD/23,Airtel
EW/02/DD/24,Airtel
EW/02/DD/25,Airtel
EW/02/DD/26,Airtel
EW/02/DD/27,Airtel
EW/02/DD/28,Airtel
EW/02/DD/29,Airtel
EW/02/DD/30,Airtel
EW/02/DD/31,Airtel
EW/02/DD/32,Airtel
EW/02/DD/33,Airtel
EW/02/DD/34,Airtel
EW/02/DD/35,Airtel
EW/02/DD/36,Airtel
EW/02/DD/37,Airtel
EW/02/DD/38,Airtel
EW/02/DD/39,Airtel
EW/02/DD/40,Airtel
EW/02/DD/41,Airtel
EW/02/DD/42,Airtel
EW/02/DD/43,Airtel
EW/02/DD/44,Airtel
EW/02/DD/45,Airtel
EW/02/DD/46,Airtel
EW/02/DD/47,Airtel
EW/02/DD/48,Airtel
EW/02/DD/49,Airtel
EW/02/DD/50,Airtel
EW/02/DD/51,Airtel
EW/02/DD/52,Airtel
EW/02/DD/53,
EW/02/DD/54,
EW/02/DD/55,
EW/02/DD/56,
EW/02/DD/57,True Caller
EW/02/DD/58,True Caller
EW/02/DD/59,True Caller
EW/02/DD/60,True Caller
EW/02/DD/61,True Caller
EW/02/DD/62,True Caller
EW/02/DD/63,True Caller
EW/02/DD/64,True Caller
EW/02/DD/65,True Caller
EW/02/DD/66,True Caller
EW/02/DD/67,True Caller
EW/02/DD/68,True Caller
EW/02/DD/69,
EW/02/DD/70,
EW/02/DD/71,
EW/02/DD/72,
EW/02/DD/73,
EW/02/DD/74,
EW/02/DD/75,
EW/02/DD/76,
EW/02/DD/77,Danmeet
EW/02/DD/78,
EW/02/DD/79,
EW/02/DD/80,
EW/02/DD/81,
EW/02/DD/82,
EW/02/DD/83,
EW/02/DD/84,
EW/02/DD/85,
EW/02/DD/86,
EW/02/DD/87,
EW/02/DD/88,
EW/02/DD/89,
EW/02/DD/90,
EW/02/DD/91,
EW/02/DD/92,
EW/02/DD/93,
EW/02/DD/94,
EW/02/DD/95,
EW/02/DD/96,
EW/02/DD/97,
EW/02/DD/98,
EW/02/DD/99,
EW/02/DD/100,
EW/02/DD/101,
EW/02/DD/102,
EW/02/DD/103,
EW/02/DD/104,
EW/02/DD/105,
EW/02/DD/106,
EW/02/DD/107,
EW/02/DD/108,
EW/02/DD/109,
EW/02/DD/110,
