Centre ID,Name,Unit Number,Unit Type,No of Units,Interior,Exterior,Availability,Cost,ZOPA Limit,Description,Record Type ID,Is Inventory
a030I00000vLQF0,BLR/RR/CP/00/001,1,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/002,2,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/003,3,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/004,4,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/005,5,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/006,6,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/007,7,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/008,8,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/009,9,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/010,10,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/011,11,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/012,12,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/013,13,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/014,14,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/015,15,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/016,16,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/017,17,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/018,18,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/019,19,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/020,20,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/021,21,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/022,22,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/023,23,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/024,24,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/025,25,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/026,26,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/027,27,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/028,28,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/029,29,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/030,30,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/031,31,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/032,32,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/033,33,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/034,34,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/035,35,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/036,36,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/037,37,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/038,38,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/039,39,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/040,40,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/041,41,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/042,42,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/043,43,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/044,44,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/045,45,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/046,46,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/047,47,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/048,48,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/049,49,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/050,50,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/051,51,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/052,52,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/053,53,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/054,54,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/055,55,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/056,56,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/057,57,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/058,58,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/059,59,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/060,60,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/061,61,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/062,62,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/063,63,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/064,64,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/065,65,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/066,66,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/067,67,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/068,68,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/069,69,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/070,70,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/071,71,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/072,72,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/073,73,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/074,74,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/075,75,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/076,76,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/077,77,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/078,78,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/079,79,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/080,80,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/081,81,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/082,82,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/083,83,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/084,84,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/085,85,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/086,86,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/087,87,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/088,88,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/089,89,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/090,90,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/091,91,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/092,92,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/093,93,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/094,94,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/095,95,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/096,96,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/097,97,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/098,98,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/099,99,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/100,100,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/101,101,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/102,102,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/103,103,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/104,104,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/105,105,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/106,106,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/107,107,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/108,108,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/109,109,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/110,110,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/111,111,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/112,112,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/113,113,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/114,114,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/115,115,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/116,116,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
a030I00000vLQF0,BLR/RR/CP/00/117,117,Car Park,1,1,0,Available,10999,7999,Interior Car Park,01228000000uMGz,1
