Centre: Name,Centre ID,Name,Unit Number,Unit Type,No of Units,Interior,Exterior,Availability,Cost,ZOPA Limit,Floor,Description,Record Type ID,Is Inventory,App Access,Printing Credits,Conference Credits,No Of hours,One Time Setup Cost/Desk,One Time Setup Cost
Yelahanka,a030I0000118xYd,BLR/YE/PS/01/001,1,Private Studio,15,1,0,Available,270000,225000,1,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,52485
Yelahanka,a030I0000118xYd,BLR/YE/PS/01/002,2,Private Studio,12,1,0,Available,216000,180000,1,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,41988
Yelahanka,a030I0000118xYd,BLR/YE/PS/01/003,3,Private Studio,6,1,0,Available,108000,90000,1,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,20994
Yelahanka,a030I0000118xYd,BLR/YE/PS/01/004,4,Private Studio,13,1,0,Available,234000,195000,1,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,45487
Yelahanka,a030I0000118xYd,BLR/YE/PS/01/005,5,Private Studio,19,0,1,Available,342000,285000,1,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,66481
Yelahanka,a030I0000118xYd,BLR/YE/PS/01/006,6,Private Studio,12,0,1,Available,216000,180000,1,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,41988
Yelahanka,a030I0000118xYd,BLR/YE/PS/01/007,7,Private Studio,15,0,1,Available,270000,225000,1,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,52485
Yelahanka,a030I0000118xYd,BLR/YE/PS/01/008,8,Private Studio,5,0,1,Available,90000,75000,1,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,17495
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/001,1,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/002,2,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/003,3,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/004,4,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/005,5,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/006,6,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/007,7,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/008,8,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/009,9,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/010,10,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/011,11,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/012,12,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/013,13,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/014,14,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/015,15,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/016,16,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/017,17,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/018,18,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/019,19,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/DD/01/020,20,Dedicated Desk,1,,,Available,13000,10000,1,Dedicated Desk,01228000000uMGu,1,1,40,25,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/CL/01/001,1,Lounge,1,,,Available,11000,8000,1,Lounge,01228000000uMGu,1,1,30,20,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/CL/01/002,2,Lounge,1,,,Available,11000,8000,1,Lounge,01228000000uMGu,1,1,30,20,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/CL/01/003,3,Lounge,1,,,Available,11000,8000,1,Lounge,01228000000uMGu,1,1,30,20,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/CL/01/004,4,Lounge,1,,,Available,11000,8000,1,Lounge,01228000000uMGu,1,1,30,20,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/CL/01/005,5,Lounge,1,,,Available,11000,8000,1,Lounge,01228000000uMGu,1,1,30,20,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/CL/01/006,6,Lounge,1,,,Available,11000,8000,1,Lounge,01228000000uMGu,1,1,30,20,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/CL/01/007,7,Lounge,1,,,Available,11000,8000,1,Lounge,01228000000uMGu,1,1,30,20,24,3499,3499
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/001,1,Private Studio,15,1,0,Available,270000,225000,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,52485
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/002,2,Private Studio,12,1,0,Available,216000,180000,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,41988
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/003,3,Private Studio,6,1,0,Available,108000,90000,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,20994
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/004,4,Private Studio,13,1,0,Available,234000,195000,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,45487
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/005,5,Private Studio,19,0,1,Available,342000,285000,2,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,66481
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/006,6,Private Studio,12,0,1,Available,216000,180000,2,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,41988
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/007,7,Private Studio,15,0,1,Available,270000,225000,2,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,52485
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/008,8,Private Studio,5,0,1,Available,90000,75000,2,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,17495
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/009,9,Private Studio,6,0,1,Available,108000,90000,2,Exterior Private Studio,01228000000uMGu,1,1,40,25,24,3499,20994
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/010,10,Private Studio,4,1,0,Available,72000,60000,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,13996
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/011,11,Private Studio,4,1,0,Available,72000,60000,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,13996
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/012,12,Private Studio,6,1,0,Available,108000,90000,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,20994
Yelahanka,a030I0000118xYd,BLR/YE/PS/02/013,13,Private Studio,23,1,0,Available,414000,345000,2,Interior Private Studio,01228000000uMGu,1,1,40,25,24,3499,80477
