Inventory: Name,Floor,Status,No of Units,Exterior,Exterior Patio,Interior,Centre: Name,Unit Type
NCR/AC/PS/01/017,01,Available,48,1,,0,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/018,01,Available,4,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/019,01,Available,4,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/020,01,Available,4,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/021,01,Available,4,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/022,01,Available,12,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/023,01,Blocked,11,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/024,01,Available,24,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/025,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/026,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/027,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/028,01,Available,1,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/029,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/030,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/031,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/032,01,Available,1,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/033,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/034,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/035,01,Available,3,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/036,01,Available,4,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/037,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/038,01,Available,3,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/039,01,Available,4,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/040,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/041,01,Available,1,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/042,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/043,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/044,01,Available,2,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/045,01,Available,7,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/046,01,Available,8,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/047,01,Available,7,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/048,01,Available,4,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/049,01,Available,21,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/050,01,Available,6,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/051,01,Available,6,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/052,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/053,01,Available,1,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/054,01,Available,1,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/055,01,Blocked,1,0,,1,CoWrks Aerocity,Private Studio
NCR/AC/PS/01/056,01,Available,43,1,,0,CoWrks Aerocity,Private Studio
