Centre ID,Name,Unit Number,Unit Type,No of Units,Interior,Exterior,Availability,Cost,ZOPA Limit,Floor,Description,Record Type ID,Is Inventory,App Access,Printing Credits,Conference Credits,No Of hours,One Time Setup Cost/Desk,One Time Setup Cost
a030I00000eFMKR,GUR/PA/PS/01/001,1,Private Studio,25,1,0,Available,"580,000.00","505,000.00",1,Interior Private Studio,,1,1,"1,000.00",625.00,24,"3,499.00","87,475.00"
a030I00000eFMKR,GUR/PA/PS/01/002,2,Private Studio,18,1,0,Available,"417,600.00","363,600.00",1,Interior Private Studio,,1,1,720.00,450.00,24,"3,499.00","62,982.00"
a030I00000eFMKR,GUR/PA/PS/01/003,3,Private Studio,17,1,0,Available,"394,400.00","343,400.00",1,Interior Private Studio,,1,1,680.00,425.00,24,"3,499.00","59,483.00"
a030I00000eFMKR,GUR/PA/PS/01/004,4,Private Studio,16,1,0,Available,"371,200.00","323,200.00",1,Interior Private Studio,,1,1,640.00,400.00,24,"3,499.00","55,984.00"
a030I00000eFMKR,GUR/PA/PS/01/005,5,Private Studio,5,1,0,Available,"116,000.00","101,000.00",1,Interior Private Studio,,1,1,200.00,125.00,24,"3,499.00","17,495.00"
a030I00000eFMKR,GUR/PA/PS/01/006,6,Private Studio,6,1,0,Available,"139,200.00","121,200.00",1,Interior Private Studio,,1,1,240.00,150.00,24,"3,499.00","20,994.00"
a030I00000eFMKR,GUR/PA/PS/01/007,7,Private Studio,6,1,0,Available,"139,200.00","121,200.00",1,Interior Private Studio,,1,1,240.00,150.00,24,"3,499.00","20,994.00"
a030I00000eFMKR,GUR/PA/PS/01/008,8,Private Studio,43,1,0,Available,"997,600.00","868,600.00",1,Interior Private Studio,,1,1,"1,720.00","1,075.00",24,"3,499.00","150,457.00"
a030I00000eFMKR,GUR/PA/PS/01/009,9,Private Studio,12,1,0,Available,"278,400.00","242,400.00",1,Interior Private Studio,,1,1,480.00,300.00,24,"3,499.00","41,988.00"
a030I00000eFMKR,GUR/PA/PS/01/010,10,Private Studio,12,1,0,Available,"278,400.00","242,400.00",1,Interior Private Studio,,1,1,480.00,300.00,24,"3,499.00","41,988.00"
a030I00000eFMKR,GUR/PA/PS/01/011,11,Private Studio,2,1,0,Available,"46,400.00","40,400.00",1,Interior Private Studio,,1,1,80.00,50.00,24,"3,499.00","6,998.00"
a030I00000eFMKR,GUR/PA/PS/01/012,12,Private Studio,1,1,0,Available,"23,200.00","20,200.00",1,Interior Private Studio,,1,1,40.00,25.00,24,"3,499.00","3,499.00"
a030I00000eFMKR,GUR/PA/PS/01/013,13,Private Studio,4,1,0,Available,"92,800.00","80,800.00",1,Interior Private Studio,,1,1,160.00,100.00,24,"3,499.00","13,996.00"
a030I00000eFMKR,GUR/PA/PS/01/014,14,Private Studio,4,1,0,Available,"92,800.00","80,800.00",1,Interior Private Studio,,1,1,160.00,100.00,24,"3,499.00","13,996.00"
a030I00000eFMKR,GUR/PA/PS/01/015,15,Private Studio,11,1,0,Available,"255,200.00","222,200.00",1,Interior Private Studio,,1,1,440.00,275.00,24,"3,499.00","38,489.00"
a030I00000eFMKR,GUR/PA/PS/01/016,16,Private Studio,12,1,0,Available,"278,400.00","242,400.00",1,Interior Private Studio,,1,1,480.00,300.00,24,"3,499.00","41,988.00"
a030I00000eFMKR,GUR/PA/PS/01/017,17,Private Studio,15,1,0,Available,"348,000.00","303,000.00",1,Interior Private Studio,,1,1,600.00,375.00,24,"3,499.00","52,485.00"
