Centre ID,Name,Unit Number,Unit Type,No of Units,Interior,Exterior,Availability,Cost,ZOPA Limit,Floor,Description,Record Type ID,Is Inventory,App Access,Printing Credits,Conference Credits,No Of hours,One Time Setup Cost/Desk,One Time Setup Cost
a030I00000eFY0wQAG,NCR/GC/DD/06/011,11,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/012,12,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/013,13,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/014,14,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/015,15,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/016,16,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/017,17,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/018,18,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/019,19,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/020,20,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/021,21,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/022,22,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/023,23,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/024,24,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
a030I00000eFY0wQAG,NCR/GC/DD/06/025,25,Dedicated Desk,1,1,0,Available,18999,15999,6,Interior Dedicated Desk,01228000000uMGu,1,1,1000,625,24,3499,87475
