"Centre: Name","Inventory: Name","Unit Type","Floor"
"Gurgaon Central","NCR/GC/PS/00/001","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/002","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/003","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/004","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/005","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/006","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/007","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/008","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/009","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/010","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/011","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/012","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/013","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/014","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/015","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/00/016","Private Studio","0"
"Gurgaon Central","NCR/GC/PS/01/017","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/018","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/019","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/020","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/021","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/022","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/023","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/024","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/025","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/01/026","Private Studio","1"
"Gurgaon Central","NCR/GC/PS/06/027","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/028","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/029","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/030","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/031","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/032","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/033","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/034","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/035","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/036","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/037","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/038","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/039","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/040","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/041","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/042","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/043","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/044","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/045","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/046","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/047","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/048","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/049","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/050","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/051","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/052","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/053","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/054","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/055","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/056","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/057","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/058","Private Studio","6"
"Gurgaon Central","NCR/GC/DD/00/001","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/002","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/003","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/004","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/014","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/015","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/007","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/008","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/009","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/010","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/011","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/012","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/013","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/005","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/006","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/016","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/017","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/018","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/019","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/020","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/021","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/00/022","Dedicated Desk","0"
"Gurgaon Central","NCR/GC/DD/01/023","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/024","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/025","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/026","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/027","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/028","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/029","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/030","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/031","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/032","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/033","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/034","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/035","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/036","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/037","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/038","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/039","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/040","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/041","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/042","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/043","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/044","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/045","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/046","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/047","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/048","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/049","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/050","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/051","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/052","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/053","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/DD/01/054","Dedicated Desk","1"
"Gurgaon Central","NCR/GC/FD/00/001","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/002","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/003","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/004","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/005","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/006","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/007","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/008","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/009","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/010","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/011","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/012","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/013","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/014","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/015","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/016","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/017","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/018","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/019","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/020","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/021","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/022","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/023","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/024","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/025","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/026","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/027","Flexible Desk","0"
