Proposal: Proposal Name,Contract Number,Status,Account Name,Account Owner,Centre
NCR/AC/02772/1,2228,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity
NCR/AC/02483/1,2053,Activated,Marks Emballage Private Limited,Khushboo Parakh,CoWrks Aerocity
NCR/AC/02770/1,2227,Activated,Cuddalore Bioenergy Private Limited,Dhruv Agarwal,CoWrks Aerocity
NCR/AC/02728/2,2260,Activated,EKANEK NETWORKS PRIVATE LIMITED,Khushboo Parakh,CoWrks Aerocity
NCR/AC/02863/1,2336,Activated,BTG Legal Services,Arjun Gulati,CoWrks Aerocity
NCR/AC/03146/1,2492,Activated,ETRUE VALUE.COM,Rumpa Das,CoWrks Aerocity
NCR/AC/03045/1,2436,Activated,Vaibhav Sharma,Dhruv Agarwal,CoWrks Aerocity
NCR/AC/03092/1,2459,Activated,Airlogic Aviation Solutions Pvt Ltd,Arjun Gulati,CoWrks Aerocity
NCR/PT/01433/1,1098,Activated,Addedsport India Pvt. Ltd.,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02086/4,1738,Month on Month,YMetis India Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02248/1,1854,Activated,ARCTERN HEALTHCARE PRIVATE LIMITED,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02567/1,2120,Month on Month,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/02223/1,1838,Activated,Leverton Software India Private Limited,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02255/1,1859,Activated,Carlsberg India Pvt. Ltd.,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02763/1,2221,Activated,Nikhil Jain,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02717/1,2188,Activated,Tradewind International Servicing,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02757/1,2211,Activated,U DIGITAL CONTENT PRIVATE LIMITED,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02759/1,2212,Activated,OFFBEET ADVISORY LLP,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02765/1,2229,Activated,Nikhil Jain,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02776/1,2230,Activated,Charu Chhabra,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/02236/1,1846,Activated,SKP Business Consulting LLP,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02778/1,2237,Month on Month,Great Lakes Institute of Management,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/02787/1,2238,Activated,Accord Group India Private Limited,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02562/1,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02359/1,1960,Month on Month,Shearwater Ventures Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02559/1,2102,Activated,Naina Doddamani(Vanity Wagon),Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02212/1,1820,Activated,Escape Velocity Digital Pvt Ltd,Dhruv Agarwal,CoWrks Golf Course Road
